split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0161	4.400	Seorang pria sedang bermain piano.	Seseorang sedang bermain piano.
train	main-captions	MSRvid	2012test	0163	4.600	Seorang wanita sedang bermain seruling.	Seorang wanita bermain seruling.
train	main-captions	MSRvid	2012test	0164	3.800	Seorang anak laki-laki sedang memeriksa kalender.	Seorang anak laki-laki sedang melihat kalender.
train	main-captions	MSRvid	2012test	0165	4.800	Seorang wanita sedang memotong bawang.	Seorang wanita sedang memotong bawang.
train	main-captions	MSRvid	2012test	0166	4.857	Seorang pria sedang bermain gitar.	Seorang pria memainkan gitar.
train	main-captions	MSRvid	2012test	0167	5.000	Seorang wanita sedang menggunakan mesin jahit.	Seorang wanita sedang menjahit dengan mesin.
train	main-captions	MSRvid	2012test	0168	2.533	Seorang wanita sedang membalik panekuk.	Seorang koki kartun sedang membalik pancake.
train	main-captions	MSRvid	2012test	0172	1.000	Seorang pria sedang berlari di jalan.	Sebuah mobil sedang melaju di jalan.
train	main-captions	MSRvid	2012test	0175	1.000	Seorang pria sedang menunggang kuda.	Seorang pria sedang berbicara di telepon.
train	main-captions	MSRvid	2012test	0176	2.000	Seorang pria sedang mengendarai sepeda.	Seorang pria sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0178	0.143	Seorang wanita sedang menari.	Seorang pria sedang makan.
train	main-captions	MSRvid	2012test	0179	2.000	Seorang pria sedang bermain piano.	Seorang pria sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0180	1.600	Seorang pria sedang memainkan seruling.	Seorang pria sedang bermain piano.
train	main-captions	MSRvid	2012test	0182	1.600	Seorang pria berputar.	Seorang pria sedang menari.
train	main-captions	MSRvid	2012test	0184	3.400	Seekor monyet berayun dari satu dahan ke dahan yang lain.	Seekor monyet sedang berayun dari pohon ke pohon.
train	main-captions	MSRvid	2012test	0185	4.000	Orang-orang turun dari kereta.	Orang-orang turun dari kereta di stasiun.
train	main-captions	MSRvid	2012test	0187	4.800	Seekor anjing sedang melompat di atas trampolin.	Seekor anjing memantul di atas trampolin.
train	main-captions	MSRvid	2012test	0188	2.500	Seorang anak laki-laki sedang memainkan alat musik.	Seorang pria sedang memainkan terompet.
train	main-captions	MSRvid	2012test	0190	1.750	Seorang wanita memainkan gitar.	Seorang pria bernyanyi dan memainkan gitar.
train	main-captions	MSRvid	2012test	0191	1.000	Seorang wanita sedang mengambil kaleng.	Seorang wanita sedang mengiris tomat.
train	main-captions	MSRvid	2012test	0192	5.000	Seorang pria sedang memanjat tali.	Seorang pria memanjat tali.
train	main-captions	MSRvid	2012test	0193	1.400	Seorang pria sedang mengangkat mobil.	Seorang pria sedang memanjat tembok.
train	main-captions	MSRvid	2012test	0195	4.000	Seorang pria dan wanita sedang berkendara di jalan dengan sebuah jip.	Seorang pria dan wanita sedang berkendara di jalan dengan kendaraan terbuka.
train	main-captions	MSRvid	2012test	0196	3.800	Pria bertelanjang dada itu duduk di kursi.	Seorang pria bertelanjang dada sedang duduk di kursi.
train	main-captions	MSRvid	2012test	0198	4.000	Dua wanita sedang bergulat.	Dua wanita sedang bergulat di lantai.
train	main-captions	MSRvid	2012test	0199	4.000	Anak anjing itu bermain dengan bola tenis biru.	Seekor anak anjing sedang bermain dengan bola tenis.
train	main-captions	MSRvid	2012test	0200	4.800	Seekor kanguru sedang memakan sesuatu.	Seekor kanguru sedang makan.
train	main-captions	MSRvid	2012test	0201	0.600	Seekor kucing sedang bermain piano.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0202	4.750	Pria itu memotong karpet dengan pisau.	Seorang pria sedang memotong karpet dengan pisau.
train	main-captions	MSRvid	2012test	0203	2.200	Seorang wanita sedang mengendarai skuter bermotor di jalan.	Seorang pria sedang mengendarai sepeda motor skuter.
train	main-captions	MSRvid	2012test	0204	3.000	seseorang sedang mengiris sayuran.	Seseorang sedang mengiris tomat.
train	main-captions	MSRvid	2012test	0205	0.000	Seorang wanita sedang menari.	Seorang pria sedang berbicara.
train	main-captions	MSRvid	2012test	0207	2.200	Seekor anjing menjilat air liur bayi.	Seekor anjing menjilati bayi.
train	main-captions	MSRvid	2012test	0208	0.400	Seorang pria sedang mendayung perahu.	Seorang pria sedang mengiris tomat.
train	main-captions	MSRvid	2012test	0210	4.800	Seorang pria memotong kentang.	Seorang pria mengiris kentang.
train	main-captions	MSRvid	2012test	0212	4.800	Seorang wanita sedang memotong bawang putih.	Wanita itu sedang memotong bawang putih.
train	main-captions	MSRvid	2012test	0214	3.800	Seekor binatang berlari berputar-putar.	Seekor tupai berlari berputar-putar.
train	main-captions	MSRvid	2012test	0215	3.000	Seorang pria berjalan perlahan melintasi jembatan tali.	Seorang anak laki-laki sedang berjalan melintasi jembatan.
train	main-captions	MSRvid	2012test	0216	4.000	Seorang pria sedang bermain gitar.	Seorang pria yang duduk di sebuah ruangan sedang bermain gitar.
train	main-captions	MSRvid	2012test	0217	5.000	Seorang pria memainkan seruling.	Seorang pria sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0221	3.800	Seorang wanita memecahkan dua butir telur ke dalam mangkuk kaca.	Seorang wanita sedang memecahkan telur ke dalam mangkuk.
train	main-captions	MSRvid	2012test	0223	3.000	Seorang pria sedang memotong ikan.	Seorang pria mengeluarkan isi perut seekor ikan.
train	main-captions	MSRvid	2012test	0224	4.400	Dua pria sedang mengemas koper ke bagasi mobil.	Para pria itu sedang memasukkan koper ke bagasi mobil.
train	main-captions	MSRvid	2012test	0226	3.800	Seorang pria menuangkan minyak ke beberapa tomat.	Pria itu menuangkan minyak ke potongan tomat.
train	main-captions	MSRvid	2012test	0227	3.000	Seorang pria sedang mengiris sesuatu.	Seorang pria sedang mengiris roti.
train	main-captions	MSRvid	2012test	0230	0.667	Seorang pria sedang mendayung kano.	Seorang pria sedang memainkan harpa.
train	main-captions	MSRvid	2012test	0231	4.000	Seorang pria dan wanita sedang berjalan bersama melalui hutan.	Seorang pria dan wanita berjalan bergandengan tangan melewati kawasan hutan.
train	main-captions	MSRvid	2012test	0233	3.750	Wanita itu mengambil kanguru itu.	Seorang wanita mengambil bayi kanguru.
train	main-captions	MSRvid	2012test	0234	4.133	Ikan sedang berenang.	Seekor ikan sedang berenang.
train	main-captions	MSRvid	2012test	0235	4.000	Dua wanita mencampur sesuatu dalam food processor.	Dua wanita membuat sesuatu dalam blender.
train	main-captions	MSRvid	2012test	0237	3.600	Seseorang sedang berselancar di ombak besar.	Seseorang sedang berselancar.
train	main-captions	MSRvid	2012test	0238	1.200	Seorang pria sedang bermain gitar.	Seorang pria sedang menusuk target.
train	main-captions	MSRvid	2012test	0239	1.600	Seorang pria sedang memainkan seruling dalam sebuah band.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0240	4.000	Pria itu mengoleskan mentega pada roti.	Seorang pria mengoleskan mentega ke roti.
train	main-captions	MSRvid	2012test	0241	4.000	Seseorang sedang merebus mie.	Seorang wanita sedang merebus mie dalam air.
train	main-captions	MSRvid	2012test	0243	3.200	Sekelompok orang menari di atas bukit.	Sekelompok orang sedang menari.
train	main-captions	MSRvid	2012test	0245	1.000	Seorang pria sedang menari di luar.	Seorang pria sedang bermain seruling.
train	main-captions	MSRvid	2012test	0246	1.000	Seorang wanita sedang memberi makan seorang pria.	Seorang wanita sedang mencampur daging.
train	main-captions	MSRvid	2012test	0247	0.600	Seorang pria sedang memasukkan panci ke dalam oven.	Seorang wanita sedang memotong bawang.
train	main-captions	MSRvid	2012test	0249	0.400	Seorang wanita sedang duduk di depan meja.	Seorang wanita sedang menunggangi seekor keledai.
train	main-captions	MSRvid	2012test	0250	3.400	Petugas medis mengangkut pasien dengan tandu.	Seorang dokter membawa pasiennya dengan tandu.
train	main-captions	MSRvid	2012test	0252	3.600	Seorang wanita sedang memainkan seruling di atas panggung.	Wanita itu sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0254	3.000	Dua bayi panda sedang bermain.	Dua panda sedang berbaring bersama.
train	main-captions	MSRvid	2012test	0256	4.000	Seorang bayi sedang tertawa.	Seorang bayi tertawa dan cekikikan.
train	main-captions	MSRvid	2012test	0257	1.200	Seorang pria sedang bermain gitar.	Seorang anak laki-laki sedang bermain piano.
train	main-captions	MSRvid	2012test	0259	0.600	Seorang pria sedang melipat kertas.	Seorang wanita sedang mengiris lada.
train	main-captions	MSRvid	2012test	0260	1.600	Tiga wanita sedang menari.	Pria itu sedang menari.
train	main-captions	MSRvid	2012test	0262	2.600	Kucing-kucing itu sedang bermain satu sama lain.	Dua kucing sedang berkelahi satu sama lain.
train	main-captions	MSRvid	2012test	0263	3.600	Seseorang sedang menulis.	Seseorang sedang menulis dengan pensil.
train	main-captions	MSRvid	2012test	0267	3.500	Seorang pria sedang berlari.	Seorang pria sedang berlari di jalan.
train	main-captions	MSRvid	2012test	0268	3.765	Wanita itu sedang menggulung adonan.	Seorang wanita sedang menumbuk dan menggulung adonan.
train	main-captions	MSRvid	2012test	0269	2.750	Seorang wanita sedang menambahkan bumbu pada daging.	Wanita menambahkan gula ke daging.
train	main-captions	MSRvid	2012test	0270	2.250	Seorang wanita menambahkan minyak pada ikan.	Seorang wanita sedang menuangkan air ke ikan.
train	main-captions	MSRvid	2012test	0271	2.750	Seorang anak laki-laki sedang memegang gitar.	Seorang anak kecil sedang bermain gitar.
train	main-captions	MSRvid	2012test	0272	3.800	Seekor cheetah sedang berlari.	Seekor cheetah sedang berlari melintasi lapangan.
train	main-captions	MSRvid	2012test	0273	4.800	Pria itu sedang makan pizza.	Seorang pria sedang makan sepotong pizza.
train	main-captions	MSRvid	2012test	0274	3.600	Seekor orangutan sedang menaiki bus.	Seekor monyet sedang naik bus.
train	main-captions	MSRvid	2012test	0275	1.200	Seorang pria dan seorang wanita berbicara di sebuah restoran.	Seorang pria dan seorang wanita sedang mengendarai sepeda.
train	main-captions	MSRvid	2012test	0277	0.400	Seorang pria sedang bermain gitar.	Seorang pria sedang membersihkan pintu kaca.
train	main-captions	MSRvid	2012test	0278	2.400	Seorang gadis sedang bernyanyi dan bermain gitar.	Seorang pemuda sedang bernyanyi sambil bermain gitar.
train	main-captions	MSRvid	2012test	0282	3.941	Seorang gadis berkomunikasi dengan bahasa isyarat.	Seorang gadis muda menggunakan bahasa isyarat.
train	main-captions	MSRvid	2012test	0283	0.500	Seorang wanita sedang melakukan latihan beban.	Seorang wanita sedang menata rambutnya.
train	main-captions	MSRvid	2012test	0284	3.750	Seorang pria masuk ke dalam mobil.	Seorang lelaki tua masuk ke dalam mobil berwarna merah.
train	main-captions	MSRvid	2012test	0285	4.000	Sebuah bola hijau besar menjatuhkan sebuah kentang.	Sebuah bola hijau besar mengenai kentang.
train	main-captions	MSRvid	2012test	0287	3.000	Seekor kucing sedang bermain keyboard.	Seekor kucing sedang bermain piano.
train	main-captions	MSRvid	2012test	0288	4.200	Dua anjing berenang di kolam.	Anjing sedang berenang di kolam.
train	main-captions	MSRvid	2012test	0290	2.000	Pria itu menggunakan helikopter untuk memotong bawang.	Pria itu menggunakan mesin untuk memotong kentang.
train	main-captions	MSRvid	2012test	0291	5.000	Seorang wanita mengiris tahu.	Seorang wanita sedang memotong tahu.
train	main-captions	MSRvid	2012test	0292	3.000	Kawanan rusa sedang menyeberang jalan.	Kawanan karibu sedang menyeberang jalan.
train	main-captions	MSRvid	2012test	0293	3.800	Orang tersebut sedang menunggang kuda.	Seorang pria sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0294	0.000	Seseorang sedang memberi makan seekor binatang.	Seseorang sedang bermain piano.
train	main-captions	MSRvid	2012test	0295	0.000	Seseorang sedang mengiris tortila.	Seseorang sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0296	0.250	Seseorang sedang mencampurkan bahan-bahan.	Seseorang sedang menjahit sesuatu.
train	main-captions	MSRvid	2012test	0297	4.000	Seekor ayam jantan mematuk bangkai tikus.	Seekor ayam sedang mematuk bangkai tikus.
train	main-captions	MSRvid	2012test	0298	3.250	Seorang wanita memegang seekor kanguru.	Seorang wanita sedang mengangkat seekor kanguru.
train	main-captions	MSRvid	2012test	0299	0.750	Seorang pria sedang bermain dengan katak	Seekor kucing sedang bermain dengan kamera.
train	main-captions	MSRvid	2012test	0300	1.500	Dua pria sedang berbicara.	Dua pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0303	3.500	Seorang pria mengoleskan mentega pada sepotong besar roti.	Seorang pria mengolesi mentega pada sepotong roti bawang putih.
train	main-captions	MSRvid	2012test	0304	3.000	Seorang pria sedang berlari melintasi kawat tinggi.	Seorang pria berlari dengan tali.
train	main-captions	MSRvid	2012test	0307	0.200	Seorang pria sedang memotong rumput.	Seorang wanita sedang memotong lemon.
train	main-captions	MSRvid	2012test	0309	0.800	Seorang pria sedang membuka pintu.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0311	4.200	Seorang pria sedang mengiris kentang menjadi beberapa bagian.	Seorang pria sedang memotong kentang.
train	main-captions	MSRvid	2012test	0312	3.800	Wanita itu sedang memotong gurita matang.	Seorang wanita sedang memotong gurita.
train	main-captions	MSRvid	2012test	0314	0.400	Seorang pria sedang meninju papan.	Seekor anjing berlari melewati air.
train	main-captions	MSRvid	2012test	0316	0.800	Seorang pria sedang menari.	Seorang pria sedang makan roti.
train	main-captions	MSRvid	2012test	0317	1.200	Seseorang sedang bermain piano.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0318	2.800	Dua rubah sedang makan dari piring di teras bata.	Rubah sedang makan dari piring.
train	main-captions	MSRvid	2012test	0319	3.200	Seorang anak laki-laki sedang memainkan papan kunci.	Seorang anak laki-laki sedang bermain piano.
train	main-captions	MSRvid	2012test	0320	5.000	Seseorang memainkan keyboard.	Seseorang sedang memainkan keyboard.
train	main-captions	MSRvid	2012test	0322	0.000	Seorang pria menembakkan pistol.	Seorang pria meludah.
train	main-captions	MSRvid	2012test	0323	1.000	Seseorang sedang mengiris bawang.	Seseorang sedang mengupas kentang.
train	main-captions	MSRvid	2012test	0325	0.000	Seorang pria sedang berenang.	Seorang wanita sedang mengiris daging.
